date,open,high,low,close,volume
2023-01-02,100.93,100.72,99.28,100.0,799543
2023-01-03,99.54,101.18,98.25,99.72,1269599
2023-01-04,100.35,102.44,100.35,101.39,869502
2023-01-05,104.21,106.43,104.21,105.32,1406347
2023-01-06,105.53,105.95,103.59,104.77,1023436
2023-01-09,104.86,105.62,103.27,104.44,1279376
2023-01-10,106.38,107.54,106.38,106.96,1576203
2023-01-11,107.57,110.6,107.57,109.08,1284757
2023-01-12,108.74,109.2,107.52,108.36,1043135
2023-01-13,108.96,110.84,108.96,109.9,852841
2023-01-16,110.3,110.3,107.1,108.7,1241101
2023-01-17,108.49,109.1,106.87,107.99,1266328
2023-01-18,107.62,109.71,107.14,108.42,1297051
2023-01-19,104.68,104.68,101.94,103.31,1670865
2023-01-20,100.03,100.03,97.82,98.92,1794276
2023-01-23,98.47,98.94,96.27,97.6,811555
2023-01-24,97.0,97.0,95.32,96.16,1483063
2023-01-25,96.35,97.61,96.35,96.98,1007894
2023-01-26,96.24,96.24,93.46,94.85,1467730
2023-01-27,92.45,92.45,90.68,91.57,1163083
2023-01-30,93.1,94.14,93.1,93.62,1454233
2023-01-31,94.09,94.56,91.76,93.16,1084284
2023-02-01,93.57,94.57,92.2,93.38,1238800
2023-02-02,92.11,92.11,90.75,91.43,940049
2023-02-03,91.53,91.56,88.94,90.25,945114
2023-02-06,90.36,91.63,89.51,90.57,946869
2023-02-07,89.59,89.59,88.5,89.05,1182125
2023-02-08,89.06,91.09,88.8,89.95,1333913
2023-02-09,90.0,90.12,88.24,89.18,1330526
2023-02-10,88.85,89.64,88.03,88.83,745160
2023-02-13,88.66,88.66,86.46,87.56,1282978
2023-02-14,91.03,92.34,91.03,91.68,1042194
2023-02-15,91.77,92.5,90.94,91.72,939191
2023-02-16,90.2,90.2,88.53,89.36,1142466
2023-02-17,89.62,91.43,89.59,90.51,1058397
2023-02-20,88.8,88.8,86.83,87.82,1647590
2023-02-21,88.19,88.71,87.57,88.14,1031566
2023-02-22,84.52,84.52,83.25,83.89,1909152
2023-02-23,81.97,81.97,80.36,81.17,1430329
2023-02-24,81.03,82.23,81.03,81.63,821613
2023-02-27,82.06,83.1,82.06,82.58,874209
2023-02-28,82.31,83.94,82.05,83.0,953382
2023-03-01,82.97,83.98,81.66,82.82,1123690
2023-03-02,82.57,82.82,81.71,82.26,773329
2023-03-03,79.82,79.82,78.76,79.29,1097796
2023-03-06,78.94,78.94,78.01,78.48,1076544
2023-03-07,78.18,78.18,77.09,77.63,1109403
2023-03-08,77.97,79.85,77.97,78.91,1373265
2023-03-09,78.58,80.25,78.46,79.36,1294102
2023-03-10,78.4,78.4,76.21,77.31,1090292
2023-03-13,77.5,78.74,76.71,77.73,854728
2023-03-14,77.62,77.87,76.77,77.32,1042273
2023-03-15,77.22,77.44,75.72,76.58,1071148
2023-03-16,76.84,78.79,76.84,77.82,988730
2023-03-17,78.12,80.02,78.1,79.06,1168615
2023-03-20,79.39,81.04,79.39,80.21,1109420
2023-03-21,80.01,80.07,78.43,79.25,964906
2023-03-22,78.87,79.4,78.02,78.71,954749
2023-03-23,78.86,79.99,78.86,79.43,842331
2023-03-24,79.51,81.76,79.51,80.64,1276193
2023-03-27,80.63,80.77,78.71,79.74,835811
2023-03-28,79.81,80.39,78.74,79.57,1172209
2023-03-29,79.02,79.02,77.56,78.29,1009339
2023-03-30,76.68,76.68,75.36,76.02,1345167
2023-03-31,76.39,77.65,76.34,76.99,1199694
2023-04-03,79.08,80.26,79.08,79.67,1067089
2023-04-04,79.4,80.19,79.01,79.6,819413
2023-04-05,80.21,81.48,80.21,80.85,1432269
2023-04-06,80.87,81.81,80.87,81.34,1003599
2023-04-07,81.02,81.29,78.91,80.1,1081741
2023-04-10,80.39,81.77,79.4,80.58,1262445
2023-04-11,81.87,83.12,81.87,82.5,1362383
2023-04-12,82.54,83.68,81.33,82.51,1044173
2023-04-13,85.14,86.48,85.14,85.81,1137303
2023-04-14,80.93,80.93,79.6,80.27,1653344
2023-04-17,80.7,81.91,80.7,81.31,1204926
2023-04-18,81.37,82.2,80.92,81.56,817146
2023-04-19,81.59,81.82,80.23,81.03,779001
2023-04-20,80.73,81.97,80.61,81.29,761790
2023-04-21,78.48,78.48,76.17,77.32,1764172
2023-04-24,77.46,77.55,76.39,76.97,1208832
2023-04-25,76.95,78.28,76.59,77.44,1004351
2023-04-26,78.53,79.88,78.53,79.21,1472319
2023-04-27,78.91,79.8,77.49,78.65,1219111
2023-04-28,78.24,78.24,76.02,77.13,882424
2023-05-01,77.18,77.18,75.29,76.24,1344776
2023-05-02,76.84,77.83,76.84,77.34,939509
2023-05-03,77.53,78.57,77.53,78.05,1297867
2023-05-04,78.07,78.39,76.58,77.48,981489
2023-05-05,77.4,79.21,77.06,78.13,1290126
2023-05-08,78.04,79.04,77.57,78.31,998906
2023-05-09,79.63,80.92,79.63,80.28,1253968
2023-05-10,79.53,79.53,78.37,78.95,1084501
2023-05-11,79.27,79.44,77.8,78.62,1119467
2023-05-12,78.7,78.7,77.73,78.21,1132003
2023-05-15,77.19,77.19,75.91,76.55,1425943
2023-05-16,76.58,77.81,76.09,76.95,1300469
2023-05-17,76.68,78.53,76.53,77.53,953790
2023-05-18,77.72,78.2,77.04,77.62,728265
2023-05-19,77.82,78.23,76.58,77.4,1259917
2023-05-22,76.46,76.46,75.18,75.82,923252
2023-05-23,75.54,76.11,74.09,75.1,1027528
2023-05-24,74.84,75.5,73.57,74.53,900777
2023-05-25,74.59,74.59,72.79,73.69,1206840
2023-05-26,73.72,74.45,72.69,73.57,865060
2023-05-29,73.45,74.7,73.45,74.07,1330247
2023-05-30,76.8,78.49,76.8,77.64,1448107
2023-05-31,77.38,79.19,76.93,78.06,1108558
2023-06-01,78.15,79.44,77.86,78.65,764044
2023-06-02,78.99,79.7,77.54,78.62,1042413
2023-06-05,77.34,77.34,75.51,76.42,1438955
2023-06-06,76.48,76.95,75.95,76.45,1068186
2023-06-07,76.63,77.36,75.94,76.65,1292932
2023-06-08,78.41,80.68,78.41,79.54,1057917
2023-06-09,79.81,80.42,78.07,79.25,803805
2023-06-12,79.54,81.06,78.79,79.93,1098352
2023-06-13,79.85,80.82,79.08,79.95,735071
2023-06-14,78.35,78.35,77.05,77.7,900542
2023-06-15,78.44,79.76,78.44,79.1,1206199
2023-06-16,78.98,81.19,78.92,80.06,1018182
2023-06-19,80.07,82.08,80.07,81.07,940809
2023-06-20,80.78,80.8,79.27,80.04,908967
2023-06-21,80.97,82.6,80.97,81.79,1522267
2023-06-22,80.83,80.83,79.45,80.14,1297150
2023-06-23,80.5,81.33,80.5,80.91,884733
2023-06-26,84.18,86.68,84.18,85.43,1478845
2023-06-27,84.73,84.73,83.74,84.24,1141466
2023-06-28,83.87,84.51,82.68,83.59,1237709
2023-06-29,83.93,84.49,83.3,83.89,852801
2023-06-30,83.51,83.51,82.36,82.93,1095957
2023-07-03,80.66,80.66,78.96,79.81,1603937
2023-07-04,79.83,80.73,79.2,79.96,982871
2023-07-05,78.63,78.63,77.23,77.93,994784
2023-07-06,78.21,79.09,78.02,78.55,1368986
2023-07-07,78.22,78.22,76.86,77.54,1226534
2023-07-10,78.69,80.13,78.69,79.41,985330
2023-07-11,79.51,79.51,77.6,78.55,793962
2023-07-12,78.34,78.57,77.45,78.01,1179225
2023-07-13,79.27,80.1,79.27,79.69,1433588
2023-07-14,78.82,78.82,77.76,78.29,990851
2023-07-17,78.16,79.1,78.16,78.63,1182405
2023-07-18,79.15,81.33,79.15,80.24,1130912
2023-07-19,78.01,78.01,76.21,77.11,1217606
2023-07-20,76.73,78.48,76.31,77.39,779078
2023-07-21,77.22,78.32,77.22,77.77,847923
2023-07-24,78.52,80.24,78.52,79.38,1491748
2023-07-25,78.04,78.04,76.01,77.02,1110083
2023-07-26,76.23,76.23,74.9,75.57,1023229
2023-07-27,75.78,77.51,75.78,76.64,1178126
2023-07-28,76.58,78.03,76.58,77.31,1378528
2023-07-31,77.03,78.65,76.69,77.67,1278612
2023-08-01,77.98,79.21,77.66,78.44,1296361
2023-08-02,78.06,78.43,76.99,77.71,940768
2023-08-03,77.81,79.07,77.44,78.26,914752
2023-08-04,78.52,79.18,78.17,78.68,1359893
2023-08-07,78.42,78.71,77.11,77.91,947493
2023-08-08,79.75,80.58,79.75,80.17,993861
2023-08-09,80.34,82.09,80.34,81.22,1167527
2023-08-10,80.76,80.76,78.92,79.84,962956
2023-08-11,80.84,81.67,80.84,81.25,1458907
2023-08-14,81.25,81.25,79.04,80.15,1204803
2023-08-15,80.23,82.12,80.23,81.17,1408510
2023-08-16,82.86,84.39,82.86,83.62,1316933
2023-08-17,83.13,83.13,82.23,82.68,1272026
2023-08-18,83.47,84.45,83.47,83.96,978178
2023-08-21,84.17,85.69,84.17,84.93,1019190
2023-08-22,85.01,87.11,85.01,86.06,1178628
2023-08-23,87.74,89.46,87.74,88.6,1634059
2023-08-24,88.35,89.45,87.28,88.36,737807
2023-08-25,88.12,88.12,86.79,87.46,805976
2023-08-28,86.48,86.48,84.77,85.62,1089269
2023-08-29,85.05,85.05,82.92,83.99,887468
2023-08-30,83.98,85.01,82.95,83.98,1114348
2023-08-31,84.01,85.59,84.01,84.8,1308483
2023-09-01,84.97,86.35,84.14,85.24,908153
2023-09-04,86.17,88.07,86.17,87.12,920889
2023-09-05,86.8,88.46,85.99,87.23,1286013
2023-09-06,88.38,90.06,88.38,89.22,1259502
2023-09-07,89.43,90.18,87.74,88.96,1218360
2023-09-08,91.61,93.76,91.61,92.68,1715926
2023-09-11,92.95,94.36,92.95,93.65,919787
2023-09-12,93.93,93.93,91.17,92.55,808928
2023-09-13,91.28,91.28,89.11,90.2,1014025
2023-09-14,90.57,91.92,89.97,90.95,780292
2023-09-15,90.76,91.64,89.47,90.56,1307974
2023-09-18,90.96,92.98,90.28,91.63,1100695
2023-09-19,91.94,94.1,91.57,92.83,1008902
2023-09-20,92.4,94.02,91.56,92.79,1062772
2023-09-21,91.62,91.62,90.29,90.95,894055
2023-09-22,90.05,90.05,87.92,88.99,1380193
2023-09-25,88.82,88.99,87.99,88.49,1080910
2023-09-26,89.33,91.67,89.33,90.5,1320460
2023-09-27,90.61,92.15,89.63,90.89,876118
2023-09-28,88.65,88.65,87.73,88.19,924974
2023-09-29,88.21,89.73,87.3,88.52,1310462
2023-10-02,88.96,90.65,88.33,89.49,1010672
2023-10-03,88.75,88.75,86.53,87.64,1192570
2023-10-04,87.97,88.93,86.95,87.94,1334860
2023-10-05,87.87,89.31,87.07,88.19,979918
2023-10-06,87.85,87.85,85.7,86.78,888899
2023-10-09,86.93,88.42,86.93,87.68,968564
2023-10-10,88.37,89.68,88.37,89.03,820322
2023-10-11,89.23,91.92,89.23,90.58,1092526
2023-10-12,91.03,93.2,91.03,92.11,1485438
2023-10-13,91.48,91.48,89.16,90.32,1135928
2023-10-16,89.55,89.55,87.11,88.33,1196423
2023-10-17,88.12,90.11,88.12,89.11,1409876
2023-10-18,89.72,91.05,89.72,90.38,1245288
2023-10-19,90.66,92.69,90.66,91.68,958329
2023-10-20,96.43,97.74,96.43,97.08,1290642
2023-10-23,96.94,99.29,96.78,98.03,806333
2023-10-24,99.47,102.44,99.47,100.95,1631495
2023-10-25,101.96,105.06,101.96,103.51,1174934
2023-10-26,103.71,105.96,103.33,104.64,879243
2023-10-27,104.36,105.65,102.9,104.27,863722
2023-10-30,104.49,106.68,104.49,105.59,1179997
2023-10-31,105.11,105.11,103.87,104.49,948590
2023-11-01,104.9,104.9,103.59,104.25,1303181
2023-11-02,104.54,104.54,101.73,103.13,1209755
2023-11-03,102.71,104.58,102.41,103.5,978314
2023-11-06,108.68,110.6,108.68,109.64,1807008
2023-11-07,105.73,105.73,103.64,104.68,1208251
2023-11-08,104.64,107.14,104.64,105.89,1350272
2023-11-09,104.49,104.49,102.43,103.46,1297719
2023-11-10,103.3,104.22,101.49,102.85,1171437
2023-11-13,104.68,106.94,104.68,105.81,1579592
2023-11-14,105.98,107.51,104.76,106.14,1247925
2023-11-15,105.98,105.98,103.12,104.55,1381513
2023-11-16,104.74,104.8,102.32,103.56,1172651
2023-11-17,104.16,106.8,104.16,105.48,1455788
2023-11-20,104.98,105.14,102.29,103.71,1395688
2023-11-21,103.54,104.84,103.53,104.18,1197837
